Timestamp;StimuliName;FixationDuration;MappedFixationPointX;MappedFixationPointY;user;description;aois
248746;03_Bordeaux_S1.jpg;700;1416;853;p20;color;Porte_de_Bourgogne-Stalingrad
249445;03_Bordeaux_S1.jpg;250;1403;815;p20;color;Porte_de_Bourgogne-Stalingrad
249695;03_Bordeaux_S1.jpg;300;1405;851;p20;color;Porte_de_Bourgogne-Stalingrad
249995;03_Bordeaux_S1.jpg;300;1490;971;p20;color
250295;03_Bordeaux_S1.jpg;300;1463;914;p20;color;Porte_de_Bourgogne-Stalingrad
250595;03_Bordeaux_S1.jpg;150;924;473;p20;color
250745;03_Bordeaux_S1.jpg;183;960;473;p20;color
250928;03_Bordeaux_S1.jpg;233;1403;963;p20;color
387519;03_Bordeaux_S1.jpg;133;1099;677;p21;color;Origin
387653;03_Bordeaux_S1.jpg;2299;1149;671;p21;color;Origin
390085;03_Bordeaux_S1.jpg;149;1151;685;p21;color;Origin
390234;03_Bordeaux_S1.jpg;266;1471;993;p21;color;Destination
390501;03_Bordeaux_S1.jpg;266;1180;714;p21;color;Origin
390767;03_Bordeaux_S1.jpg;233;1151;685;p21;color;Origin
391183;03_Bordeaux_S1.jpg;3331;1142;681;p21;color;Origin
394515;03_Bordeaux_S1.jpg;266;1177;690;p21;color;Origin
394781;03_Bordeaux_S1.jpg;566;1141;683;p21;color;Origin
395347;03_Bordeaux_S1.jpg;266;1139;781;p21;color;Hotel_de_Ville-Place_du_Palais
395614;03_Bordeaux_S1.jpg;200;1448;912;p21;color;Porte_de_Bourgogne-Stalingrad
395814;03_Bordeaux_S1.jpg;283;1528;1000;p21;color;Destination
396097;03_Bordeaux_S1.jpg;233;1388;766;p21;color
396330;03_Bordeaux_S1.jpg;117;1414;805;p21;color;Porte_de_Bourgogne-Stalingrad
396447;03_Bordeaux_S1.jpg;316;1155;724;p21;color;Origin
396763;03_Bordeaux_S1.jpg;167;1152;625;p21;color
396930;03_Bordeaux_S1.jpg;216;1135;667;p21;color;Origin
397146;03_Bordeaux_S1.jpg;1549;1127;783;p21;color;Hotel_de_Ville-Place_du_Palais
398695;03_Bordeaux_S1.jpg;833;1433;848;p21;color;Porte_de_Bourgogne-Stalingrad
399528;03_Bordeaux_S1.jpg;250;1478;930;p21;color
399778;03_Bordeaux_S1.jpg;266;1526;1010;p21;color;Destination
400044;03_Bordeaux_S1.jpg;583;1537;1053;p21;color;Destination
400627;03_Bordeaux_S1.jpg;550;1429;846;p21;color;Porte_de_Bourgogne-Stalingrad
